1 1134
2 1731
3 1735
4 1798
5 1842
6 2047
7 2216
8 2166
9 2203
10 2125
11 2380
12 2393
13 2457
14 2640
15 2673
16 2606
17 2178
18 1719
19 1175
20 841
21 712
22 615
23 663
24 878
